#YY  MM DD hh mm WDIR WSPD GST  WVHT   DPD   APD MWD   PRES  ATMP  WTMP  DEWP  VIS  TIDE
#yr  mo dy hr mn degT m/s  m/s     m   sec   sec degT   hPa  degC  degC  degC   mi    ft
2009 01 05 07 50 114  8.7 10.4  2.41 11.43  6.82 218  996.0   5.1   7.8 999.0 99.0 99.00
2009 01 05 08 20 108  9.0 10.6 99.00 99.00 99.00 999  996.0   5.1   7.8 999.0 99.0 99.00
2009 01 05 08 50 105  8.8 10.6  2.85 10.81  7.53 222  995.7   5.1   7.7 999.0 99.0 99.00
2009 01 05 09 20 106  7.3  9.1 99.00 99.00 99.00 999  995.8   5.3   7.7 999.0 99.0 99.00
2009 01 05 09 50  83  5.0  7.1  2.37 11.43  7.26 220  996.0   5.3   7.6 999.0 99.0 99.00
2009 01 05 10 20  88  3.6  4.8 99.00 99.00 99.00 999  996.9   5.7   7.4 999.0 99.0 99.00
2009 01 05 10 50 321  4.1  8.2 99.00 99.00 99.00 999  997.7   7.1   7.4 999.0 99.0 99.00
2009 01 05 11 20 316  6.6  8.6 99.00 99.00 99.00 999  998.1   7.5   7.4 999.0 99.0 99.00
2009 01 05 11 50 318  4.7  6.0  2.24 10.81  6.69 239  998.6   7.0   7.5 999.0 99.0 99.00
2009 01 05 12 20 326  4.0  4.8 99.00 99.00 99.00 999  999.4   6.7   7.5 999.0 99.0 99.00
2009 01 05 12 50 306  3.2  4.9  2.30 10.00  7.22 248 1000.2   6.6   7.5 999.0 99.0 99.00
2009 01 05 13 20 292  8.5 11.2 99.00 99.00 99.00 999 1000.5   7.6   7.5 999.0 99.0 99.00
2009 01 05 13 50 289  9.7 11.5  2.49 10.00  6.89 240 1001.0   8.1   7.6 999.0 99.0 99.00
